credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
601,1,1,42,1,98495.72,1,1,0,40014.76,1
619,0,1,43,1,125211.92,1,1,1,113410.49,0
656,0,1,45,5,127864.4,1,1,0,87107.57,0
725,1,1,19,0,75888.2,1,0,0,45613.75,0
511,2,0,66,4,0.0,1,1,0,1643.11,1
614,0,1,51,4,40685.92,1,1,1,46775.28,0
742,1,1,35,5,136857.0,1,0,0,84509.57,0
687,1,0,27,9,152328.88,2,0,0,126494.82,0
555,2,1,33,1,56084.69,2,0,0,178798.13,0
684,2,1,56,8,78707.16,1,1,1,99398.36,0
603,1,1,26,4,109166.37,1,1,1,92840.67,0
751,1,0,36,6,169831.46,2,1,1,27758.36,0
581,1,0,34,1,101633.04,1,1,0,110431.51,0
735,1,1,43,10,123180.01,2,1,1,196673.28,0
661,1,0,35,5,150725.53,2,0,1,113656.85,0
675,0,0,21,8,98373.26,1,1,0,18203.0,0
738,1,1,58,2,133745.44,4,1,0,28373.86,1
813,0,1,29,6,0.0,1,1,0,33953.87,0
657,2,0,37,0,163607.18,1,0,1,44203.55,0
604,1,0,25,5,157780.84,2,1,1,58426.81,0
519,0,1,36,9,0.0,2,0,1,145562.4,0
735,0,0,21,1,178718.19,2,1,0,22388.0,0
664,0,1,55,8,0.0,2,1,1,139161.64,0
678,0,0,32,9,0.0,1,1,1,148210.64,0
757,2,1,33,5,77253.22,1,0,1,194239.63,0
416,1,0,41,10,122189.66,2,1,0,98301.61,0
665,0,0,34,1,96645.54,2,0,0,171413.66,0
777,0,0,32,2,0.0,1,1,0,136458.19,1
543,0,0,36,3,0.0,2,0,0,26019.59,0
506,0,0,34,4,90307.62,1,1,1,159235.29,0
493,0,0,46,4,0.0,2,1,0,1907.66,0
652,2,0,75,10,0.0,2,1,1,114675.75,0
750,2,1,22,3,121681.82,1,1,0,128643.35,1
729,0,1,30,9,0.0,2,1,0,151869.35,0
646,0,0,46,4,0.0,3,1,0,93251.42,1
635,1,0,28,3,81623.67,2,1,1,156791.36,0
647,2,0,44,5,0.0,3,1,1,174205.22,1
808,0,1,45,7,118626.55,2,1,0,147132.46,0
524,0,0,36,10,0.0,2,1,0,109614.57,0
769,0,1,29,8,0.0,2,1,1,172290.61,0
730,2,1,42,4,0.0,2,0,1,85982.47,0
515,2,1,35,10,176273.95,1,0,1,121277.78,0
773,2,1,41,9,102827.44,1,0,1,64595.25,0
814,1,1,29,8,97086.4,2,1,1,197276.13,0
710,2,1,22,8,0.0,2,0,0,99645.04,0
413,0,1,34,9,0.0,2,0,0,6534.18,0
665,0,0,40,6,0.0,1,1,1,161848.03,0
623,0,0,44,6,0.0,2,0,0,167162.43,0
738,0,1,31,9,82674.15,1,1,0,41970.72,0
528,2,1,36,7,0.0,2,1,0,60536.56,0
670,2,0,65,1,0.0,1,1,1,177655.68,1
622,2,0,46,4,107073.27,2,1,1,30984.59,1
582,1,1,32,1,88938.62,1,1,1,10054.53,0
785,1,0,36,2,99806.85,1,0,1,36976.52,0
605,2,1,33,5,150092.8,1,0,0,71862.79,0
479,1,1,35,9,92833.89,1,1,0,99449.86,1
685,1,1,30,3,90536.81,1,0,1,63082.88,0
538,1,1,39,7,108055.1,2,1,0,27231.26,0
562,0,1,42,2,100238.35,1,0,0,86797.41,0
675,2,1,36,9,106190.55,1,0,1,22994.32,0
721,1,1,28,9,154475.54,2,0,1,101300.94,1
628,1,0,30,9,132351.29,2,1,1,74169.13,0
668,1,0,37,6,167864.4,1,1,0,115638.29,0
506,0,0,41,1,0.0,2,1,0,31766.3,0
524,1,0,31,8,107818.63,1,1,0,199725.39,1
699,1,1,34,4,185173.81,2,1,0,120834.48,0
828,0,1,34,8,129433.34,2,0,0,38131.77,0
674,2,1,39,6,120193.42,1,0,0,100130.95,0
656,0,0,39,6,0.0,2,1,0,141069.88,0
684,1,0,48,10,126384.42,1,1,1,198129.36,0
625,0,0,28,3,0.0,1,0,0,183646.41,0
432,0,1,42,9,152603.45,1,1,0,110265.24,1
549,0,0,52,1,0.0,1,0,1,8636.05,1
625,1,1,56,0,148507.24,1,1,0,46824.08,1
828,0,0,41,7,0.0,2,1,0,171378.77,0
770,0,1,24,9,101827.07,1,1,0,167256.35,0
758,0,0,34,3,0.0,2,1,1,124226.16,0
795,1,0,33,9,130862.43,1,1,1,114935.21,0
687,0,1,38,9,122570.87,1,1,1,35608.88,0
686,0,1,25,1,0.0,2,0,1,16459.37,0
789,1,1,39,7,124828.46,2,1,1,124411.08,0
589,1,0,50,5,144895.05,2,1,1,34941.23,0
461,1,0,34,5,63663.93,1,0,1,167784.28,0
637,0,1,40,2,133463.1,1,0,1,93165.34,0
584,2,0,48,2,213146.2,1,1,0,75161.25,1
579,2,0,35,1,129490.36,2,0,1,8590.83,1
756,1,1,44,10,137452.09,1,1,0,189543.9,0
663,0,1,34,7,0.0,2,1,1,180427.24,0
682,0,0,43,5,125851.93,1,1,1,193318.33,0
793,2,1,52,2,0.0,1,1,0,159123.82,1
691,0,0,31,5,40915.55,1,1,0,126213.84,1
485,2,0,21,5,113157.22,1,1,1,54141.5,0
635,2,0,29,8,138296.94,2,1,0,141075.51,0
650,0,1,37,5,106967.18,1,0,0,24495.03,0
735,0,1,44,9,120681.63,1,1,0,74836.34,0
416,0,1,32,0,0.0,2,0,1,878.87,0
754,2,0,32,7,0.0,2,1,0,89520.75,0
535,0,0,48,9,0.0,1,1,0,149892.79,1
716,2,1,42,8,0.0,2,1,0,180800.42,0
539,0,1,37,2,127609.59,1,1,0,98646.22,0
614,0,0,43,6,0.0,2,1,1,109041.53,0
706,2,1,57,7,0.0,1,1,0,17941.16,1
758,0,0,33,7,0.0,2,0,0,82996.47,0
586,2,0,28,2,0.0,2,1,1,92067.35,0
646,0,0,73,6,97259.25,1,0,1,104719.66,0
631,1,0,33,4,123246.7,1,0,0,112687.57,0
717,2,0,22,6,101060.25,1,0,1,84699.56,0
684,0,1,30,2,0.0,2,1,0,83473.82,0
800,0,0,49,7,108007.36,1,0,0,47125.11,0
721,2,0,36,2,0.0,2,1,1,106977.8,0
683,2,1,29,0,133702.89,1,1,0,55582.54,1
660,1,1,31,9,125189.75,2,1,1,139874.43,0
704,1,0,24,7,113034.22,1,1,0,162503.48,1
615,2,0,41,9,109013.23,1,1,0,196499.96,0
667,2,0,39,2,0.0,2,1,0,40721.24,1
682,1,1,24,9,57929.81,2,0,0,53134.3,0
484,0,0,29,4,130114.39,1,1,0,164017.89,0
628,1,1,27,5,95826.49,2,1,0,155996.96,0
480,1,1,44,10,129608.57,1,1,0,5472.7,1
578,0,1,30,4,169462.09,1,1,0,112187.11,0
512,0,1,40,5,0.0,2,1,1,146457.83,0
484,2,0,35,7,133868.21,1,1,1,27286.1,0
510,0,0,30,0,0.0,2,1,1,130553.47,0
606,1,1,36,5,190479.48,2,0,0,179351.89,0
597,2,0,40,8,101993.12,1,0,1,94774.12,0
754,1,0,55,3,161608.81,1,1,0,8080.85,1
850,2,0,45,2,122311.21,1,1,1,19482.5,0
510,0,1,65,2,0.0,2,1,1,48071.61,0
778,1,0,45,1,162150.42,2,1,0,174531.27,0
636,0,1,42,2,0.0,2,1,1,55470.78,0
804,0,0,50,4,0.0,1,1,1,8546.87,1
514,0,1,32,8,0.0,2,1,0,95857.18,0
730,0,0,39,1,99010.67,1,1,0,194945.8,0
525,2,0,37,0,0.0,1,0,1,131521.72,0
616,2,1,30,5,0.0,2,0,1,196108.51,0
687,1,0,34,7,111388.18,2,1,0,148564.76,0
715,0,0,41,8,56214.85,2,0,0,92982.61,1
512,0,0,36,3,84327.77,2,1,0,17675.36,0
479,0,1,40,1,0.0,2,0,0,114996.43,0
601,0,1,32,8,93012.89,1,1,0,86957.42,0
580,2,1,29,9,61710.44,2,1,0,128077.8,0
807,0,1,35,3,174790.15,1,1,1,600.36,0
616,2,0,32,6,0.0,2,1,1,43001.46,0
721,1,1,37,3,107720.64,1,1,1,158591.12,0
501,0,1,57,10,0.0,2,1,1,47847.19,0
521,0,1,35,6,96423.84,1,1,0,10488.44,0
850,2,1,30,2,141040.01,1,1,1,5978.2,0
759,0,1,42,4,105420.18,1,0,1,121409.06,0
516,2,1,50,5,0.0,1,0,1,146145.93,1
711,0,0,38,2,129022.06,2,1,1,14374.86,1
512,2,1,33,3,176666.62,1,1,0,94670.77,0
550,0,1,37,3,0.0,1,1,1,179670.31,0
608,2,0,41,3,89763.84,1,0,0,199304.74,1
618,0,1,34,5,134954.53,1,1,1,151954.39,0
643,0,1,45,5,0.0,1,1,0,142513.5,1
671,0,1,45,2,106376.85,1,0,1,158264.62,0
689,1,1,33,2,161814.64,2,1,0,169381.9,0
603,0,1,31,8,0.0,2,1,1,169915.02,0
620,0,0,41,9,0.0,2,0,0,88852.47,0
676,0,0,34,1,63095.01,1,1,1,40645.81,0
572,1,1,26,4,118287.01,2,0,0,60427.3,0
668,1,1,47,7,106854.21,1,0,1,157959.02,1
695,0,1,46,7,49512.55,1,1,0,133007.34,0
730,2,0,33,9,0.0,2,0,0,176576.62,0
807,0,1,43,1,105799.32,2,1,0,34888.04,1
592,0,1,54,8,0.0,1,1,1,28737.71,1
726,0,0,31,9,114722.05,2,1,1,98178.57,0
514,2,1,30,7,0.0,1,0,1,125010.24,0
567,0,1,42,2,0.0,2,1,1,167984.61,0
850,0,1,33,10,0.0,1,1,0,4861.72,1
671,1,1,45,6,99564.22,1,1,1,108872.45,1
670,0,1,37,4,170557.91,2,1,0,198252.88,0
694,0,0,30,9,0.0,2,1,1,26960.31,0
547,1,0,39,6,74596.15,3,1,1,85746.52,1
751,1,1,50,2,96888.39,1,1,0,77206.25,1
594,1,0,29,3,130830.22,1,1,0,61048.53,0
673,0,1,72,1,0.0,2,0,1,111981.19,0
610,0,1,40,0,0.0,2,1,0,62232.6,0
512,0,0,37,1,0.0,2,0,1,156105.03,0
767,1,1,20,3,119714.25,2,0,1,150135.38,0
585,0,0,67,5,113978.97,2,0,1,93146.11,0
763,1,1,42,6,100160.75,1,1,0,33462.94,1
712,0,0,29,2,0.0,1,1,1,144375.0,0
539,1,0,43,3,116220.5,3,1,0,55803.96,1
668,0,0,46,2,0.0,3,1,0,89048.46,1
703,0,1,28,2,81173.83,2,0,1,162812.16,0
662,2,1,38,4,0.0,2,1,0,136259.65,0
725,1,0,39,5,116803.8,1,1,0,124052.97,0
703,0,1,37,8,105961.68,2,0,1,74158.8,0
659,1,1,67,6,117411.6,1,1,1,45071.09,1
523,2,1,34,7,0.0,2,1,0,62030.06,0
635,0,0,40,10,123497.58,1,1,0,131953.23,1
772,1,1,26,7,152400.51,2,1,0,79414.0,0
545,0,0,26,1,0.0,2,1,1,199638.56,0
634,1,1,24,8,103097.85,1,1,1,157577.29,0
739,1,1,54,8,126418.14,1,1,0,134420.75,1
771,1,0,36,5,77846.9,1,0,0,99805.99,0
587,2,0,34,1,0.0,2,1,1,97932.68,0
681,0,0,79,0,0.0,2,0,1,170968.99,0
544,1,1,37,2,79731.91,1,1,1,57558.95,0
696,2,1,28,8,0.0,1,0,0,176713.47,0
766,2,1,41,0,0.0,2,0,1,34283.23,0
727,0,1,34,10,0.0,2,1,1,198637.34,0
671,1,0,34,6,37266.67,2,0,0,156917.12,0
693,0,0,30,6,127992.25,1,1,1,50457.2,0
850,1,1,38,3,54901.01,1,1,1,140075.55,0
732,1,1,42,9,108748.08,2,1,1,65323.11,0
726,2,0,48,6,99906.19,1,1,0,64323.24,0
557,0,0,32,6,184686.41,2,1,0,14956.44,0
682,0,0,26,0,110654.02,1,0,1,111879.21,0
738,2,1,31,9,79019.8,1,1,1,18606.23,0
531,2,0,36,9,99240.51,1,1,0,123137.01,0
498,0,1,34,2,0.0,2,1,1,148528.24,0
651,0,1,36,7,0.0,2,1,0,13898.31,0
549,2,0,39,7,0.0,1,0,0,81259.25,1
791,1,0,35,7,52436.2,1,1,0,161051.75,0
650,2,1,41,9,0.0,2,0,1,191599.67,0
733,1,1,34,3,100337.96,3,1,0,48559.19,1
811,1,0,34,1,149297.19,2,1,1,186339.74,0
707,0,1,30,8,0.0,2,1,0,33159.37,0
712,1,1,28,4,145605.44,1,0,1,93883.53,0
706,2,0,37,7,0.0,2,1,1,110899.3,0
756,0,1,62,3,0.0,1,1,1,11199.04,1
777,0,0,53,10,0.0,2,1,0,189992.97,0
646,0,1,35,6,84026.86,1,0,1,164255.69,0
714,0,1,46,1,0.0,1,1,0,152167.79,1
782,0,1,39,8,0.0,2,1,1,33949.67,0
775,2,1,29,10,0.0,2,1,1,68143.93,0
479,1,1,35,4,138718.92,1,1,1,47251.79,1
807,0,1,42,7,118274.71,1,1,1,25885.72,0
799,0,0,22,8,174185.98,2,0,1,192633.85,0
675,0,1,40,7,113208.86,2,1,0,34577.36,0
602,2,1,29,5,103907.28,1,1,0,161229.84,0
475,0,0,32,8,119023.28,1,1,0,100816.29,0
744,2,0,26,5,166297.89,1,1,1,181694.44,0
588,2,1,34,10,0.0,2,1,0,79078.91,0
703,1,1,42,9,63227.0,1,0,1,137316.32,0
747,2,0,41,5,94521.17,2,1,0,194926.86,0
583,0,1,27,7,0.0,2,1,0,51285.49,0
750,2,0,34,9,112822.26,1,0,0,150401.53,1
681,0,1,38,3,0.0,2,1,1,112491.96,0
773,0,1,25,2,135903.33,1,1,0,73656.38,0
714,0,0,31,4,125169.26,1,1,1,106636.89,0
687,2,0,44,7,0.0,3,1,0,155853.52,1
511,0,1,58,0,149117.31,1,1,1,162599.51,0
627,0,1,33,5,0.0,2,1,1,103737.82,0
694,0,0,31,10,0.0,2,1,0,160990.27,0
616,2,0,36,6,132311.71,1,0,0,15462.84,0
687,0,1,35,8,0.0,2,1,0,10334.05,0
712,0,0,33,6,0.0,2,1,1,190686.16,0
553,0,1,33,4,118082.89,1,0,0,94440.45,0
667,0,1,31,1,119266.69,1,1,1,28257.63,0
731,0,1,43,2,0.0,1,1,1,170034.95,1
629,1,1,35,7,156847.29,2,1,0,31824.29,0
614,0,1,50,4,137104.47,1,1,0,127166.49,1
438,1,1,31,8,78398.69,1,1,0,44937.01,0
652,0,0,80,4,0.0,2,1,1,188603.07,0
729,1,1,30,6,63669.42,1,1,0,145111.37,0
642,0,1,38,3,0.0,2,0,0,171463.83,0
806,1,0,59,0,135296.33,1,1,0,182822.5,0
744,2,1,36,2,153804.44,1,1,1,87213.33,0
474,2,1,37,3,0.0,2,0,0,57175.32,0
559,0,1,49,2,147069.78,1,1,0,120540.83,1
706,2,1,42,9,0.0,2,1,1,28714.34,0
628,2,0,22,3,0.0,1,1,0,85426.28,0
429,0,1,24,4,95741.75,1,1,0,46170.75,0
525,2,0,57,2,145965.33,1,1,1,64448.36,0
680,0,0,30,8,141441.75,1,1,1,16278.97,0
749,0,1,40,1,139290.41,1,1,0,182855.42,1
763,0,0,31,4,0.0,2,0,0,50404.72,0
734,0,1,30,3,0.0,2,1,0,107640.25,0
716,0,1,35,4,144428.87,1,1,0,134132.65,0
594,0,1,35,2,0.0,2,1,0,103480.69,0
644,0,0,46,9,95441.27,1,1,0,108761.05,1
671,1,1,35,1,144848.74,1,1,1,179012.3,0
664,1,1,26,7,116244.14,2,1,1,95145.14,0
656,0,1,50,7,0.0,2,0,1,72143.44,0
667,2,0,40,1,146502.07,1,1,0,19162.89,0
663,1,1,44,2,117028.6,2,0,1,144680.18,0
584,1,0,30,8,112013.81,1,1,0,177772.03,1
626,2,0,37,6,108269.37,1,1,0,5597.94,0
485,0,1,29,7,182123.79,1,1,0,116828.51,1
659,1,0,32,3,150923.74,2,0,1,174652.51,0
649,0,1,33,2,0.0,2,1,0,2010.98,0
805,2,0,39,5,165272.13,1,1,0,14109.85,1
716,1,0,39,10,115301.31,1,1,0,43527.4,1
642,1,0,40,6,129502.49,2,0,1,86099.23,1
659,0,1,31,4,118342.26,1,0,0,161574.19,0
545,2,0,47,5,0.0,2,1,1,38970.14,0
543,0,1,22,8,0.0,2,0,0,127587.22,0
718,0,0,25,7,0.0,2,1,0,30380.12,0
840,0,0,43,7,0.0,2,1,0,90908.95,0
630,1,0,34,9,106937.05,2,1,0,138275.01,0
643,1,1,59,3,170331.37,1,1,1,32171.79,0
654,1,0,32,1,114510.85,1,1,1,126143.23,0
582,0,1,39,5,0.0,2,1,1,129892.93,0
659,2,1,32,3,107594.11,2,1,1,102416.84,0
762,2,1,39,2,81273.13,1,1,1,18719.67,0
568,2,0,32,7,169399.6,1,1,0,61936.22,0
670,2,1,25,6,0.0,2,1,1,78358.94,0
613,0,0,45,1,187841.99,2,1,1,147224.27,0
539,0,1,30,0,0.0,2,1,0,160979.66,0
850,2,0,57,8,126776.3,2,1,1,132298.49,0
522,2,1,34,9,126436.29,1,1,0,174248.52,1
737,0,1,41,1,101960.74,1,1,1,123547.28,0
520,0,1,58,3,0.0,2,0,1,32790.02,0
706,2,1,28,3,0.0,2,0,1,181543.67,0
643,1,0,45,2,150842.93,1,0,1,2319.96,1
648,0,0,50,9,102535.57,1,1,1,189543.19,0
443,1,0,29,9,99027.61,2,1,0,10940.4,0
640,0,1,68,9,0.0,2,1,1,199493.38,0
628,2,0,33,3,0.0,1,1,1,188193.25,0
540,1,0,42,9,87271.41,2,1,0,172572.64,0
460,1,0,35,8,102742.91,2,1,1,189339.6,0
636,1,1,34,2,40105.51,2,0,1,53512.16,0
593,0,0,29,2,152265.43,1,1,0,34004.44,0
801,2,1,42,4,141947.67,1,1,1,10598.29,0
640,1,0,75,1,106307.91,2,0,1,113428.77,0
611,1,1,31,0,107884.81,2,1,1,183487.98,0
802,1,1,31,1,125013.72,1,1,1,187658.09,0
717,1,1,35,7,58469.37,2,1,1,172459.39,0
769,0,0,39,8,0.0,1,0,1,21016.0,0
745,1,1,45,10,117231.63,3,1,1,122381.02,1
572,2,1,35,4,152390.26,1,1,0,128123.66,0
629,2,0,30,2,34013.63,1,1,0,19570.63,0
687,2,0,39,2,0.0,3,0,0,188150.6,1
483,0,0,50,9,0.0,2,1,1,111020.24,0
690,0,1,36,7,101583.11,2,1,0,123775.15,0
492,1,0,30,10,77168.87,2,0,1,146700.22,0
709,1,1,28,8,124695.72,2,1,0,145251.35,0
705,1,1,44,3,105934.96,1,1,0,82463.69,0
560,0,0,66,9,0.0,1,1,1,15928.49,0
611,2,1,46,6,0.0,2,1,0,45886.33,0
730,2,1,62,2,0.0,2,1,1,186489.95,0
709,2,0,45,2,0.0,2,0,1,162922.65,0
544,0,0,21,10,161525.96,2,1,0,9262.77,0
712,1,0,29,7,147199.07,1,1,1,84932.4,0
752,1,1,38,3,183102.29,1,1,1,71557.12,0
648,2,1,46,9,127209.0,2,1,0,77405.95,1
556,2,1,38,8,0.0,2,0,0,417.41,1
594,2,0,24,0,97378.54,1,1,1,71405.17,0
645,1,0,37,2,136925.09,2,0,1,153400.24,0
557,0,1,33,3,54503.55,1,1,1,371.05,0
547,1,1,32,8,155726.85,1,1,0,67789.99,0
701,0,0,39,9,0.0,2,0,1,145894.9,0
616,0,0,66,1,135842.41,1,1,0,183840.51,1
605,0,1,52,1,63349.75,1,1,0,108887.44,0
593,1,0,38,4,129499.42,1,1,1,154071.27,0
751,2,1,52,8,0.0,2,0,1,179291.85,0
443,2,1,36,6,70438.01,2,0,1,56937.43,0
685,0,1,23,8,0.0,2,1,1,112239.03,0
718,0,1,36,9,0.0,1,1,0,45909.87,0
538,2,0,49,9,141434.04,1,0,0,173779.25,1
611,2,0,37,4,0.0,2,1,0,125696.26,0
668,1,1,37,10,152958.29,2,1,1,159585.61,0
537,1,0,41,3,138306.34,1,1,0,106761.47,0
709,2,1,23,10,0.0,2,0,0,129590.18,0
850,0,1,38,1,0.0,2,1,1,80006.65,0
745,2,0,31,3,124328.84,1,1,1,140451.52,0
693,1,0,41,9,181461.48,3,1,1,187929.43,1
795,2,1,35,8,0.0,2,1,0,167155.36,0
626,2,1,26,8,0.0,2,0,0,191420.71,0
487,1,0,61,5,110368.03,1,0,0,11384.45,1
556,0,0,39,9,89588.35,1,1,1,94898.1,0
643,0,0,46,6,0.0,2,0,0,106781.59,0
605,0,0,28,6,0.0,2,0,0,159508.52,0
756,1,0,60,3,115924.89,1,1,0,93524.19,1
586,0,0,38,2,0.0,2,1,0,87168.46,0
535,1,1,40,7,111756.5,1,1,0,8128.32,1
678,0,0,35,4,0.0,1,1,0,125518.32,0
596,0,1,39,9,0.0,1,1,0,48963.59,0
648,0,1,26,9,162923.85,1,1,0,98368.24,0
492,1,1,39,10,124576.65,2,1,0,148584.61,0
702,0,1,45,0,80793.58,1,1,1,27474.81,0
486,1,0,40,9,71340.09,1,1,0,76192.21,0
568,1,1,40,1,99282.63,1,0,0,134600.94,1
619,1,1,57,3,137946.39,1,1,1,72467.99,1
724,1,1,41,2,127892.57,2,0,1,199645.45,0
548,1,0,33,0,101084.36,1,1,0,42749.85,0
545,1,0,37,8,114754.08,1,1,0,136050.44,1
683,0,1,33,8,0.0,1,0,0,73564.44,0
762,0,0,51,3,99286.98,1,0,1,85578.63,0
627,1,0,30,4,79871.02,2,1,0,129826.89,0
516,0,1,35,10,104088.59,2,0,0,119666.0,0
800,0,0,38,2,168190.33,2,1,0,68052.08,0
464,1,0,42,3,85679.25,1,1,1,164104.74,0
626,0,0,35,3,0.0,1,0,0,80190.36,0
790,0,0,31,9,0.0,2,1,0,84126.75,0
534,0,0,34,7,121551.58,2,1,1,70179.0,0
745,0,1,46,2,122220.19,1,1,1,118024.1,0
553,2,1,47,3,116528.15,1,0,0,145704.19,1
748,0,0,26,1,77780.29,1,0,1,183049.41,0
722,0,1,37,2,0.0,1,0,0,120906.83,0
501,0,1,40,4,125832.2,1,1,1,100433.83,0
675,0,0,38,6,68065.8,1,0,0,138777.0,1
778,2,0,47,6,127299.34,2,1,0,124694.99,0
494,1,0,38,7,174937.64,1,1,0,40084.32,0
850,0,1,40,9,0.0,2,0,1,119232.33,0
592,2,1,31,7,110071.1,1,0,0,43921.36,0
590,2,0,44,3,139432.37,1,1,0,62222.81,0
758,0,0,39,6,127357.76,1,0,1,56577.0,0
506,0,1,36,5,0.0,2,1,0,164253.35,0
733,0,1,33,3,0.0,1,1,1,7666.73,0
711,0,1,38,3,0.0,2,1,0,68487.51,0
514,1,1,43,1,95556.31,1,0,1,199273.98,1
637,2,1,37,8,0.0,1,1,1,186062.36,0
468,1,1,29,1,111681.98,2,1,1,195711.16,0
539,0,1,39,3,0.0,2,1,0,36692.17,0
509,2,0,25,3,108738.71,2,1,0,106920.57,0
662,0,0,32,4,133950.37,1,1,1,48725.68,1
818,2,1,26,4,0.0,2,1,1,167036.94,0
608,0,1,33,9,89968.69,1,1,0,68777.26,0
850,2,0,32,9,0.0,2,1,1,18924.92,0
816,1,0,38,5,130878.75,3,1,0,71905.77,1
536,0,1,35,8,0.0,2,1,0,64833.28,0
753,0,1,35,3,0.0,2,1,1,184843.77,0
631,2,1,27,10,134169.62,1,1,1,176730.02,0
703,0,1,37,1,149762.08,1,1,0,20629.4,1
774,0,1,26,2,93844.69,1,1,0,28415.36,0
785,0,1,28,8,0.0,2,1,0,77231.27,0
571,0,0,33,1,0.0,2,1,0,102750.7,0
621,1,1,46,6,141078.37,1,0,0,34580.8,1
605,1,0,31,1,117992.59,1,1,1,183598.77,0
611,0,0,40,8,100812.33,2,1,0,147358.27,0
569,0,1,38,7,0.0,1,1,1,108469.2,0
658,0,1,29,4,80262.6,1,1,1,20612.82,0
788,2,1,34,6,156478.62,1,0,1,181196.76,0
525,0,0,23,5,0.0,2,1,0,160249.1,0
798,0,1,37,8,0.0,3,0,0,110783.28,0
486,1,1,37,9,115217.99,2,1,0,144995.33,0
615,2,1,61,9,0.0,2,1,0,150227.85,1
730,0,0,35,0,155470.55,1,1,1,53718.28,0
641,0,1,37,7,0.0,2,1,0,75248.3,0
542,0,1,39,3,135096.77,1,1,1,14353.43,1
692,0,1,30,2,0.0,2,0,1,130486.57,0
714,1,0,55,9,180075.22,1,1,1,100127.71,0
591,2,1,29,1,97541.24,1,1,1,196356.17,0
710,0,0,41,2,156067.05,1,1,1,9983.88,0
639,0,0,38,4,81550.94,2,0,1,118974.77,0
531,0,0,47,6,0.0,1,0,0,194998.34,1
673,0,0,38,2,170061.92,2,0,0,134901.34,1
765,1,1,36,8,92310.54,2,1,1,72924.56,0
622,0,0,32,6,169089.38,2,1,0,101057.95,0
806,0,1,40,5,80613.93,1,1,1,142838.64,0
757,1,1,26,8,121581.56,2,1,1,127059.04,0
570,0,0,58,8,0.0,1,0,1,116503.92,1
555,2,1,32,4,0.0,2,1,1,54405.79,0
692,0,1,54,5,0.0,2,1,1,88721.84,0
774,0,1,60,5,85891.55,1,1,0,74135.48,1
